ID,Application Type,Description,Typical Flow Range (m³/d),Typical Influent Characteristics,Recommended Treatment Train,Flow Type,Influent Temp (°C),Space Constraint,Energy Priority,Sludge Management,CapEx/OpEx Sensitivity,Redundancy Requirement,End Use,Local Regulations,Deployment Timeframe
13,Data Centers,"High heat loads, low organics","5–1,000","Temp: 30–45°C, BOD: <100",Microfiltration + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
14,Semiconductor Manufacturing,Ultra-pure water requirements,"10–5,000","TDS: <50 mg/L, Organics: low",Microfiltration + NF + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
15,Microplastics Removal,Microplastic particles removal,2–500,"Microplastics: 100–500 µm, BOD: low",Microfiltration + GAC + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
16,Metal Plating,"Heavy metals, cyanides","50–2,000","Metals: Cr, Ni, Cu; CN: present",Equalization + Chemical Precipitation + MBBR + RO,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
17,Steel Processing,"Oily wastewater, scale inhibitors","500–50,000","TSS: 1,000–5,000, Oils: present",Screening + Constructed Wetlands + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
18,Coal Processing,"Acidic, metal-rich wastewater","200–10,000","pH: 2–4, Metals: high",Equalization + AOP + MBR + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
19,Automotive Manufacturing,"Paint, oils, solvents","500–20,000","COD: 1,000–5,000, Oil: medium",Chemical Precipitation + Ion Exchange + RO + UV,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
20,Leather Tanning,"Chromium, sulfides, organics","100–2,000","Chromium: 50–300 mg/L, Sulfides: high",Equalization + SBR + GAC + Chlorination,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
21,Landfill Leachate,"Ammonia, recalcitrants","20–5,000","NH3-N: 500–2,000 mg/L, COD: 2,000–8,000",Equalization + MBR + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
22,Desalination Brine,"High TDS, scaling compounds","10–50,000","TDS: 30,000–60,000 mg/L, Scaling ions: high",Microfiltration + NF + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
23,Power Plant Cooling Water,"Biocides, temperature fluctuations","100–200,000","Biocides: present, pH: 6–9",Screening + SBR + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
24,Chemical Manufacturing,"Toxic chemicals, variable quality","1,000–50,000","COD: 1,000–10,000, Toxicity: variable",Equalization + MBR + NF + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
25,Refineries,"Oily, high COD, sulphides","2,000–100,000","COD: 3,000–8,000, Sulfides: yes",API Separator + UASB + Activated Sludge + NF + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
26,Slaughterhouse Wastewater,"High organics, blood residues","100–20,000","COD: 2,000–6,000, BOD: 1,500–4,000",Screening + DAF + UASB + SBR + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
27,Fish Processing,"High BOD, ammonia, solids","50–10,000","BOD: 1,000–3,000, TN: 100–300",Screening + DAF + SBR + GAC + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
28,Agricultural Runoff,"Nutrients, pesticides, sediment","500–50,000","BOD: 800–2,000, P: high",Screening + Constructed Wetlands + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
29,Sugar Industry,"Sugars, high BOD/COD","1,000–20,000","COD: 500–2,000, Pesticides: yes",Equalization + SBR + Tertiary Filtration + Chlorination,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
30,Winery Wastewater,"Alcohol, high BOD","10–5,000","COD: 4,000–8,000, Sugars: high",Screening + DAF + SBR + GAC + Chlorination,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
31,Distillery Wastewater,"Alcohol, high BOD","10–3,000","COD: 5,000–10,000, Alcohol: high",Equalization + SBR + NF + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
32,Tire Manufacturing,"Rubber particles, organics","20–2,000","COD: 5,000–10,000, Alcohol: high",Screening + DAF + SBR + GAC + Chlorination,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
33,Textile Dyeing,"Reactive dyes, salts","100–5,000","Rubber: 100–500 mg/L, BOD: 1,000–3,000",Equalization + SBR + GAC + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
34,Battery Manufacturing,"Heavy metals, acid/alkali","50–2,000","Reactive dyes: high, COD: 1,000–5,000",Equalization + SBR + NF + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
35,Paper Recycling,"High organics, fibers","500–10,000","Metals: Pb, Cd, Ni; pH: 2–10",Equalization + SBR + GAC + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
36,Glass Manufacturing,"Silicates, low BOD","50–1,000","COD: 1,000–4,000, Fibers: high",Equalization + SBR + NF + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
37,Plastic Recycling,"Plastic residues, VOCs","20–5,000","TSS: 500–2,000, Silicates: present",Equalization + SBR + GAC + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
38,Pharmaceutical R&D,"APIs, solvents","10–2,000","COD: 2,000–5,000, Plastics: present",Equalization + AOP + MBR + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
39,Food & Beverage Bottling,"Sugars, CO2, bottle wash water","50–5,000","COD: 500–3,000, APIs: present",Screening + DAF + SBR + GAC + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
40,Pet Food Production,"Animal proteins, fats","20–1,000","BOD: 500–2,000, CO2: high",Equalization + SBR + GAC + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
